Brake_Pressure	200	1.13
SD_MotorData_MotorRPM	0.0	1.13
LVBatt_Temp	20.0	1.13
LVBatt_Current	5.0	1.13
LVBatt_Voltage	11.7	1.13
PV_Left_Temp	30.0	1.13
PV_Left_Pressure	12.0	1.13
PV_Right_Temp	30.0	1.13
PV_Right_Pressure	12.0	1.13
Ambient_Pressure	0.1	1.13
IMU1_X	0.0	1.13
IMU1_Y	-1.02	1.13
IMU1_Z	0.0	1.13
IMU2_X	0.0	1.13
IMU2_Y	-1.02	1.13
IMU2_Z	0.0	1.13
LIDAR	0.0	1.13
LST_Left	0.0	1.13
LST_Right	0.0	1.13
GUI_Conn	1.0	1.13
RPi_Temp	40.0	1.13
RPi_Proc_Load	5.0	1.13
RPi_Mem_Load	5.0	1.13
RPi_Disk_Space	14000.0	1.13
Abort	1.0	1.13
Launch	0.0	1.13
HV	1.0	1.13
Vent_Sol	1.0	1.13
Res1_Sol	1.0	1.13
Res2_Sol	0.0	1.13
MC_Pump	1.0	1.13
para_BBP	3100.0	1.13
para_max_speed	200.0	1.13
para_max_accel	0.7	1.13
para_max_time	10.0	1.13
para_max_crawl_speed	25.0	1.13
state	1.0	1.13
spacex_state	1.0	1.13
total_faults	0.0	1.13
throttle	0.0	1.13
distance	3101.0	1.13
speed	0.0	1.13
accel	-0.6931702344546381	1.13
wheel_diameter	1.45	1.13
Brake_Pressure	200	0.06
SD_MotorData_MotorRPM	0.0	0.06
LVBatt_Temp	20.0	0.06
LVBatt_Current	5.0	0.06
LVBatt_Voltage	11.7	0.06
PV_Left_Temp	30.0	0.06
PV_Left_Pressure	12.0	0.06
PV_Right_Temp	30.0	0.06
PV_Right_Pressure	12.0	0.06
Ambient_Pressure	0.1	0.06
IMU1_X	0.0	0.06
IMU1_Y	-1.02	0.06
IMU1_Z	0.0	0.06
IMU2_X	0.0	0.06
IMU2_Y	-1.02	0.06
IMU2_Z	0.0	0.06
LIDAR	0.0	0.06
LST_Left	0.0	0.06
LST_Right	0.0	0.06
GUI_Conn	1.0	0.06
RPi_Temp	40.0	0.06
RPi_Proc_Load	5.0	0.06
RPi_Mem_Load	5.0	0.06
RPi_Disk_Space	14000.0	0.06
Abort	1.0	0.06
Launch	0.0	0.06
HV	1.0	0.06
Vent_Sol	1.0	0.06
Res1_Sol	1.0	0.06
Res2_Sol	0.0	0.06
MC_Pump	1.0	0.06
para_BBP	3100.0	0.06
para_max_speed	200.0	0.06
para_max_accel	0.7	0.06
para_max_time	10.0	0.06
para_max_crawl_speed	25.0	0.06
state	1.0	0.06
spacex_state	1.0	0.06
total_faults	0.0	0.06
throttle	0.0	0.06
distance	3101.0	0.06
speed	0.0	0.06
accel	-0.6931702344546381	0.06
wheel_diameter	1.45	0.06
